"","X","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"250",250,"JESUS RIVERA",35,4,10,3,0,0,8,1,1,2,0,1,1
"251",251,"JESUS VALDEZ",41,5,10,1,0,1,5,5,5,0,0,0,0
"252",252,"JIBRAN CASTRO",7,0,1,0,0,0,1,0,1,0,0,0,0
"253",253,"JOAQUIN LARA",0,0,0,0,0,0,0,0,0,0,0,0,0
"254",254,"JOE MUNOZ",2,0,0,0,0,0,0,0,1,0,0,0,0
"255",255,"JOHN MILLAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"256",256,"JON DEL CAMPO",43,10,15,2,1,1,8,4,9,0,1,0,2
"257",257,"JONATHAN ACEVES",42,5,11,5,0,1,4,6,12,1,0,0,0
"258",258,"JONATHAN ARMENTA",6,0,1,0,0,0,2,0,3,0,0,1,0
"259",259,"JONATHAN CASTELLANOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"260",260,"JONATHAN FRUTOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"261",261,"JONATHAN JONES",50,6,17,4,1,2,7,3,10,0,2,0,1
"262",262,"JONATHAN PARTIDA",0,0,0,0,0,0,0,0,0,0,0,0,0
"263",263,"JORDAN ABOITES",0,0,0,0,0,0,0,0,0,0,0,0,0
"264",264,"JORGE CANTU",39,7,10,3,0,1,9,5,4,0,0,3,0
"265",265,"JORGE FLORES",47,15,18,1,1,1,5,6,6,1,4,0,0
"266",266,"JORGE GONZALEZ",4,0,0,0,0,0,0,0,2,0,0,0,0
"267",267,"JORGE IBARRA",0,0,0,0,0,0,0,0,0,0,0,0,0
"268",268,"JORGE REYES",0,0,0,0,0,0,0,0,0,0,0,0,0
"269",269,"JORGE RIVERA",0,0,0,0,0,0,0,0,0,0,0,0,0
"270",270,"JOSE AGUILAR",27,4,7,1,0,1,7,3,6,1,1,1,1
"271",271,"JOSE AMADOR",51,5,20,2,0,3,11,6,8,2,0,0,0
"272",272,"JOSE ASCANIO",0,0,0,0,0,0,0,0,0,0,0,0,0
"273",273,"JOSE AUGUSTO FIGUEROA",29,1,9,1,0,0,4,5,5,0,0,1,0
"274",274,"JOSE BARAJAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"275",275,"JOSE CARLOS MEDINA",0,0,0,0,0,0,0,0,0,0,0,0,0
"276",276,"JOSE CARLOS URENA",18,3,5,1,0,0,4,6,2,1,1,0,0
"277",277,"JOSE CRUZ",1,1,0,0,0,0,0,0,1,0,0,0,0
