"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"373","MANUEL ORDUNO",6,1,1,0,0,0,1,1,2,0,0,1,0
"374","MANUEL VALDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"375","MARC FLORES",4,1,1,0,0,1,1,2,2,0,0,0,0
"376","MARCO ANTONIO DUARTE",0,0,0,0,0,0,0,0,0,0,0,0,0
"377","MARCO CAMARENA",0,0,0,0,0,0,0,0,0,0,0,0,0
"378","MARCO CARRILLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"379","MARCO CHICUATE",8,1,2,0,0,0,0,0,2,0,0,0,0
"380","MARCO GUZMAN",20,5,5,0,0,1,5,2,4,0,1,0,1
"381","MARCO JAIME",17,5,6,2,0,0,2,6,5,0,1,0,2
"382","MARCO LOPEZ",2,2,1,0,0,0,0,1,1,0,1,0,0
"383","MARCO MENDIVIL",0,0,0,0,0,0,0,0,0,0,0,0,0
"384","MARCO QUEVEDO",0,0,0,0,0,0,0,0,0,0,0,0,0
"385","MARCO RAMIREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"386","MARCO TOVAR",0,0,0,0,0,0,0,0,0,0,0,0,0
"387","MARCOS MACHADO",0,0,0,0,0,0,0,0,0,0,0,0,0
"388","MARCOS RIVAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"389","MARIO GONZALEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"390","MARIO MEZA",0,0,0,0,0,0,0,0,0,0,0,0,0
"391","MARIO MORALES",0,0,0,0,0,0,0,0,0,0,0,0,0
"392","MARK SERRANO",0,0,0,0,0,0,0,0,0,0,0,0,0
"393","MARK SIMON",0,0,0,0,0,0,0,0,0,0,0,0,0
"394","MARLON ARIAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"395","MARTIN SOTELO",0,0,0,0,0,0,0,0,0,0,0,0,0
"396","MATT CLARK",52,8,12,3,0,2,6,12,16,1,0,1,0
"397","MAURICIO LARA",0,0,0,0,0,0,0,0,0,0,0,0,0
"398","MAXWELL LEON",52,13,24,7,1,2,8,11,6,2,5,0,0
"399","MICHAEL CROUSE",66,17,16,1,1,4,12,11,19,1,1,0,0
"400","MICHAEL WING",72,15,27,6,0,4,20,6,16,1,1,1,0
"401","MICHAELANGELO GUZMAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"402","MIGUEL MEJIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"403","MIGUEL PENA",0,0,0,0,0,0,0,0,0,0,0,0,0
"404","MIGUEL TORRERO",59,8,19,1,1,1,10,2,3,1,0,1,0
"405","MITCH LAMBSON",0,0,0,0,0,0,0,0,0,0,0,0,0
"406","MOISES GUTIERREZ",13,1,2,1,0,0,2,0,1,0,0,0,0
"407","NATHANAEL SANTIAGO",0,0,0,0,0,0,0,0,0,0,0,0,0
"408","NESTOR MOLINA",0,0,0,0,0,0,0,0,0,0,0,0,0
"409","NICK STRUCK",0,0,0,0,0,0,0,0,0,0,0,0,0
"410","NICOLAS HEREDIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"411","NIKO VASQUEZ",54,12,18,6,0,4,14,7,10,5,0,0,0
"412","NORMAN ELENES",0,0,0,0,0,0,0,0,0,0,0,0,0
"413","OCTAVIO ACOSTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"414","OLMO ROSARIO",83,13,22,3,1,5,18,7,8,0,2,1,0
"415","OMAR MEZA",2,4,0,0,0,0,0,1,2,0,0,0,1
"416","OMAR RENTERIA",63,11,15,3,0,1,9,7,14,0,0,2,0
"417","ORLANDO LARA",0,0,0,0,0,0,0,0,0,0,0,0,0
